UF,RN
Cidade,PAU DOS FERROS
Nome Posto,PAU DOS FERROS
Latitude,-6.116666666666666
Longitude,-38.21666666666667
Codigo,638041
Qtd. Anos,70
Ano,Maxima
1911,74.2
1912,77.8
1913,66.1
1914,70.9
1915,52
1916,68.5
1917,72.4
1918,35.4
1919,21.5
1920,63.2
1921,77
1922,56
1923,61.2
1924,67.5
1925,65.3
1926,62
1927,42.2
1928,69.3
1929,68.3
1930,79
1931,55.5
1932,55
1933,78.3
1934,143
1935,99.6
1936,43
1937,45.5
1938,59
1939,61
1940,123
1941,54.5
1942,73
1943,97
1944,51
1945,97
1947,88
1948,84
1949,40
1950,67
1951,83
1952,87
1954,87
1955,99
1958,112
1959,72.3
1960,66.3
1961,73.8
1962,93.6
1963,119
1964,81.2
1965,102
1966,98.6
1967,92
1968,47.5
1969,49.8
1970,63.3
1971,37
1972,115
1973,118.8
1974,70
1975,87.4
1977,78
1978,105.6
1979,78
1980,79
1981,93.4
1982,147.8
1983,117
1984,120
1985,82.2
