UF,RN
Cidade,IELMO MARINHO
Nome Posto,FAZENDA POTENJI
Latitude,-5.845833333333333
Longitude,-35.52333333333333
Codigo,535038
Qtd. Anos,48
Ano,Maxima
1972,50.1
1973,82
1974,91.4
1975,44
1976,57.3
1977,75
1978,66.6
1979,90.4
1980,58
1981,86.6
1982,75.6
1983,22.5
1984,47
1985,75
1986,65
1987,55
1988,39
1989,66
1990,51
1991,80
1992,71
1993,10
1994,51
1995,80
1996,80
1997,205.7
1998,98
1999,93
2000,130
2001,81
2002,115
2003,51.2
2004,52.7
2005,54.5
2006,43.2
2007,76.6
2008,124.9
2009,78.5
2010,41.3
2011,86.3
2012,80.7
2013,120.5
2014,97.1
2015,44.3
2016,55
2017,75.5
2018,88.6
2019,63.7
