UF,RN
Cidade,CAICO
Nome Posto,CAICO-1
Latitude,-6.45
Longitude,-37.1
Codigo,637004
Qtd. Anos,70
Ano,Maxima
1910,3.4
1911,28
1912,62
1925,66.4
1926,61.2
1927,65.3
1928,35.5
1929,54.9
1930,64.3
1931,66.2
1932,20.6
1933,62.5
1934,74.2
1935,90
1936,67.2
1937,80.8
1938,58.2
1939,52.3
1940,74.1
1941,71.8
1943,61.2
1944,52.4
1945,66
1946,46.5
1947,70
1948,130
1949,84.1
1950,77.1
1951,65.2
1952,57.5
1953,44
1954,34.5
1955,63.3
1956,60
1957,65.2
1958,30
1959,58
1960,96
1961,100
1962,90
1963,132
1964,107
1965,68
1966,70
1967,44
1968,85
1969,74
1970,80
1971,73
1972,119
1973,60.5
1974,143.3
1975,133
1976,68
1977,115
1978,72
1979,60
1980,45
1981,56
1982,102
1983,68.3
1984,84
1985,142.2
1986,88
1987,63.4
1988,48
1989,110
1990,72
1991,85
1994,113
