UF,RN
Cidade,JARDIM DE PIRANHAS
Nome Posto,ACUDE LAGOINHA
Latitude,-6.4622222222222225
Longitude,-37.302499999999995
Codigo,637010
Qtd. Anos,57
Ano,Maxima
1962,3.5
1963,147.3
1964,122
1965,68
1966,71
1967,77
1968,66.6
1969,74
1970,47
1971,40.4
1972,87
1973,52
1974,92.4
1975,80.2
1976,56.4
1977,135
1978,66
1979,47.2
1980,52.2
1981,67.8
1982,94
1983,75
1984,43
1985,90
1986,57
1987,27
1988,77
1989,91
1990,72
1991,57
1993,35
1994,133
1995,85.2
1996,75
1997,73
1998,88
1999,138.7
2000,80.2
2001,41.6
2002,69.5
2003,68.7
2004,71.6
2005,87.9
2006,85.5
2007,70.8
2008,103.2
2009,139.2
2010,146.8
2011,97
2012,57
2013,86.1
2014,54
2015,50
2016,59.7
2017,45
2018,116
2019,88
