UF,RN
Cidade,PENDENCIAS
Nome Posto,PENDENCIAS
Latitude,-5.25
Longitude,-36.71666666666667
Codigo,536028
Qtd. Anos,59
Ano,Maxima
1934,53.8
1935,132.7
1936,40.2
1937,38.7
1938,34.2
1939,39.4
1940,73.5
1941,52
1942,86.3
1943,24.5
1944,122
1945,57.5
1946,56.5
1947,35
1948,35
1949,50
1950,50.1
1951,26
1952,33
1953,22.1
1954,30.6
1955,52.2
1956,45.8
1957,55
1958,39
1959,42
1960,48
1961,35.3
1962,54
1963,85
1964,107.2
1965,63
1966,78
1967,107.3
1968,77.2
1969,47.5
1970,107
1971,48
1972,79.1
1973,56.2
1974,80
1975,42.3
1976,102.4
1977,57.2
1978,39.1
1979,60
1980,72.5
1981,132.1
1982,78.2
1983,32
1984,73.4
1985,69
1986,65
1987,70
1988,82
1989,75
1990,51
1991,78.3
1994,65
