UF,RN
Cidade,AUGUSTO SEVERO
Nome Posto,CAMPO GRANDE (AUGUSTO SEVERO)
Latitude,-5.85
Longitude,-37.31666666666667
Codigo,537005
Qtd. Anos,66
Ano,Maxima
1926,67.2
1927,68.8
1928,68
1929,62.6
1930,51
1931,92
1932,72
1933,65.2
1934,73.2
1935,65.3
1936,28.8
1937,74.2
1938,83
1939,78
1940,94.7
1941,33
1943,47
1944,42
1945,48.2
1946,47.5
1947,58
1948,63.3
1949,55.8
1950,64
1951,55
1952,68.2
1953,54
1954,115
1955,122.2
1956,183
1957,99
1958,63.9
1959,63
1960,181.6
1961,114
1962,72
1963,120
1964,78
1965,76.3
1966,98.3
1967,90
1968,45.6
1969,41.4
1970,127.2
1971,81.5
1972,73.2
1973,46
1974,67.4
1975,85.8
1976,76.6
1977,106.6
1978,53.2
1979,43.2
1980,66.6
1981,54.6
1982,58.4
1983,52.4
1984,76
1985,76.4
1986,100.5
1987,53
1988,80
1989,62.4
1990,55.2
1991,76.4
1994,119.2
