UF,RN
Cidade,SERRA NEGRA DO NORTE
Nome Posto,SERRA NEGRA DO NORTE
Latitude,-6.666666666666667
Longitude,-37.4
Codigo,637013
Qtd. Anos,91
Ano,Maxima
1910,14.3
1911,56.3
1912,60
1913,68
1914,68.2
1915,45
1916,58
1917,70
1918,68.5
1919,24
1920,89.5
1921,65
1922,95.7
1923,59.4
1924,66.2
1925,64
1926,57.8
1927,61
1928,51
1929,53
1930,70
1931,78
1932,32
1933,63
1934,191
1935,190
1936,68.7
1937,148
1939,115
1940,108
1941,68.3
1942,79.1
1943,74
1944,75
1945,93
1946,56
1947,88
1948,70.2
1949,125
1950,166.2
1951,50.2
1952,88
1953,104.2
1954,80
1955,75
1956,74
1957,50
1958,51
1959,120
1960,120
1961,78.2
1962,80
1963,89
1964,127
1965,115
1966,130
1967,125
1968,70.1
1969,80
1970,106
1971,145
1972,118
1973,89
1974,91.4
1975,110
1976,14
1977,58
1978,70
1979,80
1980,112
1981,80
1982,65
1983,60.2
1993,41
1994,72.5
2004,30.9
2005,81.3
2006,111
2007,116.4
2008,145
2009,95.5
2010,73.2
2011,130
2012,41.2
2013,100
2014,104.7
2015,60
2016,85
2017,76.4
2018,86.9
2019,67.5
