UF,RN
Cidade,FLORANIA
Nome Posto,FLORANIA (FLORES)
Latitude,-6.116666666666666
Longitude,-36.81666666666667
Codigo,636005
Qtd. Anos,48
Ano,Maxima
1926,65.5
1927,96
1928,47
1929,56
1930,41
1931,55.2
1932,65
1933,74
1934,36
1935,52.1
1936,58.1
1937,58.2
1938,64
1939,66.4
1940,70.4
1941,35
1942,32.5
1943,53.1
1944,82.3
1945,46.6
1946,65
1947,84
1948,69.8
1949,85
1950,62
1951,27
1952,64
1953,25.4
1954,61
1955,60
1956,49
1957,50
1958,23
1959,75
1960,63
1961,43
1962,66
1963,80
1964,80.4
1965,82.8
1966,58.7
1967,65.1
1968,97.6
1969,69.3
1970,35.3
1972,53.5
1983,4.8
1984,89.7
