UF,RN
Cidade,SAO MIGUEL
Nome Posto,SAO MIGUEL
Latitude,-6.216666666666667
Longitude,-38.5
Codigo,638043
Qtd. Anos,80
Ano,Maxima
1911,66
1912,66.5
1913,54
1914,83.6
1915,27
1916,54.2
1917,64.8
1918,64.3
1919,50.1
1920,92.8
1921,78.4
1922,117.5
1923,63.2
1924,59.6
1925,71.7
1926,102.3
1927,65.5
1928,60
1929,68.2
1930,63
1931,50.3
1932,82.5
1933,42.5
1934,69.8
1935,58
1936,112
1937,41
1938,15
1939,68
1940,100
1941,60
1942,36
1943,84
1944,49
1945,80
1946,65
1947,70
1948,65
1949,62
1950,66
1951,56
1952,70
1953,91
1954,65
1955,143
1956,130.5
1957,96.4
1958,198
1959,200
1960,185
1961,118
1962,105
1963,100
1964,105
1965,59.3
1966,97
1967,110.3
1968,66.2
1969,30.3
1970,55.2
1971,52.2
1972,71.6
1973,78.6
1974,85
1975,30
1976,50
1979,37
1980,28.2
1981,70
1982,85.3
1983,57
1984,39.2
1985,57
1986,13
1987,83
1988,57
1989,63
1990,82.6
1991,79.2
1999,4.4
