UF,RN
Cidade,NATAL
Nome Posto,UFRN
Latitude,-5.8
Longitude,-35.21666666666667
Codigo,535007
Qtd. Anos,51
Ano,Maxima
1926,71.7
1927,78.1
1928,80.5
1929,65.5
1930,57.5
1931,79.8
1932,73.3
1933,91.5
1934,72.3
1935,86.4
1936,68.1
1938,78.5
1939,118.2
1940,143.2
1941,53
1943,76.3
1944,83.5
1945,137.2
1946,96
1947,85.6
1948,64
1949,86.6
1950,105.4
1951,90.5
1952,89.4
1953,41.7
1954,58.8
1955,85.5
1956,123.1
1957,70
1958,105.5
1959,165.8
1960,140.7
1961,141.6
1962,25.8
1963,154.7
1964,120.5
1965,97.6
1966,115.5
1967,125
1968,83.3
1969,143
1970,110
1971,72
1972,154.6
1973,118.5
1974,124.3
1975,86.8
1976,100.6
1977,130.5
1978,55.8
