UF,RN
Cidade,SAO TOME
Nome Posto,SAO TOME
Latitude,-5.966666666666667
Longitude,-36.06666666666667
Codigo,536017
Qtd. Anos,55
Ano,Maxima
1934,102.6
1935,51
1936,120
1937,130
1938,29
1939,34.7
1940,117.5
1941,90.5
1943,115.5
1944,58
1945,85
1946,36
1947,30
1948,72.5
1949,52.5
1950,40
1951,52
1952,27
1953,30
1954,32
1955,97
1956,88
1957,50
1958,23
1959,50
1960,17
1961,30
1962,40
1963,35
1964,38.4
1965,32
1966,15.4
1967,40.8
1968,75.5
1969,65.3
1970,49.3
1971,63.1
1972,34
1973,50.4
1974,75
1975,124.2
1976,77
1977,50.6
1978,52
1979,38.4
1980,85.2
1981,104.2
1982,78.2
1983,52
1984,68.2
1985,80
1986,80
1988,38
1989,41
1991,31
