UF,RN
Cidade,LUIS GOMES
Nome Posto,LUIS GOMES
Latitude,-6.416666666666667
Longitude,-38.4
Codigo,638039
Qtd. Anos,81
Ano,Maxima
1910,41
1911,67
1912,68.5
1913,63.3
1914,63.4
1915,37.5
1916,54
1917,63.5
1918,65.6
1919,28
1920,72.2
1921,56.8
1922,70.4
1923,77.4
1924,59
1925,78.6
1927,39.8
1928,72.3
1929,46.2
1930,72.2
1931,75
1932,45.5
1933,66.2
1934,72.3
1935,82
1936,60.3
1937,55
1938,74.2
1939,73
1940,100
1941,91.6
1942,55.2
1943,81.2
1944,81
1945,82
1946,114
1947,80
1948,90
1949,130
1950,70
1951,150
1952,150
1953,120
1954,125
1955,200
1956,87
1957,85
1958,84
1959,58.1
1960,60
1961,97
1962,71
1963,100.6
1964,66.4
1965,69
1966,67.4
1967,88.6
1968,96.4
1969,67.4
1970,61.4
1971,98.6
1972,59.3
1973,234.2
1974,75
1975,75.2
1976,55.2
1977,83.2
1978,68.2
1979,67
1980,120
1981,60
1982,114
1983,48.2
1984,52.2
1985,76.6
1986,57.2
1987,56
1988,76.2
1989,120
1990,75
1991,86
