UF,RN
Cidade,JARDIM DE ANGICOS
Nome Posto,JARDIM DE ANGICOS
Latitude,-5.65
Longitude,-36
Codigo,536001
Qtd. Anos,67
Ano,Maxima
1912,92.8
1913,90.3
1924,54.3
1925,10.4
1929,88.6
1930,10.4
1931,56.8
1932,14.6
1933,42.4
1934,64.4
1935,68.6
1936,30.8
1937,84.6
1938,70.8
1939,48.6
1940,54.6
1941,52.4
1943,36.4
1944,28
1945,90.8
1946,52
1947,54.6
1948,30.8
1949,38.2
1950,36.2
1951,52.8
1952,37.2
1953,42
1954,66
1955,59.6
1956,24.6
1957,95.4
1958,8.4
1959,40.4
1960,50.2
1961,89
1962,63
1963,95
1964,55.3
1965,42.2
1966,76.4
1967,74
1968,100.6
1969,30.4
1970,52
1971,45.4
1972,40.2
1973,73
1974,135.2
1975,46.2
1976,52.2
1977,46.4
1978,102.8
1979,43.6
1980,118.4
1981,90.4
1982,66.4
1983,37.4
1984,47
1985,67.2
1986,78.4
1987,90
1988,50.6
1989,52
1990,37.4
1991,32.4
1994,62
