UF,RN
Cidade,CRUZETA
Nome Posto,ACUDE CRUZETA
Latitude,-6.416666666666667
Longitude,-36.78333333333333
Codigo,636001
Qtd. Anos,53
Ano,Maxima
1925,14
1926,51
1927,52
1928,78
1929,38.4
1930,46.5
1931,28.3
1932,15.3
1933,87.4
1934,60.9
1935,62.5
1936,63.4
1937,49.3
1938,53
1939,73.5
1940,50
1941,60.1
1942,55.5
1943,57.5
1944,62.1
1945,41.2
1946,68.3
1947,67.3
1948,53.8
1949,77.6
1950,66.8
1951,34.1
1952,63.7
1953,45
1954,44.3
1955,50.6
1956,37.3
1957,64.6
1958,35.5
1959,49.7
1960,39.8
1961,88
1962,60.7
1963,79.9
1964,77.1
1965,60.3
1966,109.9
1967,57.9
1968,72.2
1969,84.8
1970,58.1
1971,40.8
1972,57
1973,58.1
1974,79.5
1975,119.8
1976,133.4
1984,45.6
