UF,RN
Cidade,TABOLEIRO GRANDE
Nome Posto,TABOLEIRO GRANDE
Latitude,-5.933333333333334
Longitude,-38.06666666666667
Codigo,538033
Qtd. Anos,57
Ano,Maxima
1934,97.1
1935,97.5
1936,39.5
1937,86
1938,75.3
1939,70.1
1940,94
1941,65.2
1942,54.3
1943,99
1944,134.2
1945,134.7
1946,84.3
1947,97.4
1948,52.3
1949,57.5
1950,88.7
1951,79.2
1952,76.8
1953,143.5
1954,60.3
1955,81.3
1956,50.2
1957,122
1958,51
1959,116.5
1961,105
1962,40.2
1963,95
1964,65
1965,46.3
1966,97.2
1967,163
1968,39
1969,61.5
1970,64
1971,56.3
1972,86.2
1973,71.3
1974,82
1975,113
1976,52
1977,83.1
1978,60.1
1979,68.1
1980,60.2
1981,86
1982,126.5
1983,60.1
1984,54.1
1985,121.3
1986,138.1
1987,53.5
1988,102.1
1989,92.7
1990,93.6
1991,62.3
