UF,RN
Cidade,OURO BRANCO
Nome Posto,OURO BRANCO (MANAIRAMA)
Latitude,-6.7
Longitude,-36.95
Codigo,636027
Qtd. Anos,51
Ano,Maxima
1933,26.3
1934,78
1935,62
1936,78
1937,45
1939,93
1940,90.2
1941,98.1
1942,32.4
1943,50.3
1944,43
1945,135
1946,38.4
1947,46
1948,54.5
1949,82.7
1950,51.4
1951,76.7
1952,50.6
1953,50.4
1954,40.6
1955,65.6
1956,72.2
1957,57.3
1958,14.9
1959,48.7
1960,104
1961,65.5
1962,63.5
1963,94.2
1964,96.2
1965,93.4
1966,90
1967,78.1
1968,55.7
1969,75.2
1970,114.4
1971,100
1972,100
1973,106
1974,88.5
1975,74
1976,60
1977,92.8
1978,93.5
1979,42.2
1980,84.3
1981,61.3
1982,66
1983,31.4
1994,84.8
