UF,RN
Cidade,SEVERIANO MELO
Nome Posto,ACUDE MALHADA VERMELHA
Latitude,-5.783333333333333
Longitude,-37.916666666666664
Codigo,537014
Qtd. Anos,67
Ano,Maxima
1922,63.1
1923,55.6
1924,66.4
1925,54.5
1926,63.5
1927,61.2
1928,57.1
1929,59.3
1930,32.3
1931,42.4
1932,70.7
1933,62.2
1934,65.7
1935,61
1936,72.5
1937,62.4
1938,51.4
1939,56.1
1940,65
1943,130
1944,64.5
1945,64.8
1946,66.8
1947,77.1
1948,63.1
1949,71.5
1950,71.6
1951,58.5
1952,42.4
1953,58.8
1954,78.3
1955,62.2
1956,46.3
1957,45.5
1959,45.5
1960,52.8
1961,191.5
1962,64
1963,71
1964,73.4
1965,81
1966,67.4
1967,74.5
1968,73.8
1969,107.8
1970,61.7
1971,53.8
1972,106.5
1973,58.5
1974,77.6
1975,111
1976,29.6
1977,82
1978,69.1
1979,105.2
1980,50.6
1981,31.6
1982,88
1983,44
1984,96
1985,103.2
1986,75.7
1987,70.1
1988,63.6
1989,57
1990,94.1
1991,97.8
