UF,RN
Cidade,EQUADOR
Nome Posto,EQUADOR
Latitude,-6.95
Longitude,-36.71666666666667
Codigo,636024
Qtd. Anos,52
Ano,Maxima
1933,51.5
1934,104.9
1935,80
1936,50.5
1937,66.1
1938,90.9
1939,61.3
1940,102.6
1941,84
1942,22.3
1943,92
1944,56.2
1945,66
1946,105.9
1947,76
1948,37.5
1949,30.3
1950,108
1951,36
1952,60
1953,18
1954,60
1955,48.6
1956,30
1957,96.5
1958,12
1959,36
1960,12
1961,48
1962,48
1963,60
1964,60.3
1965,84.2
1966,62.2
1967,68.3
1968,42.5
1969,90.4
1970,36.3
1971,86.3
1972,71
1973,70
1974,110.2
1975,57
1976,54
1977,60.3
1978,68
1979,61.2
1980,75.3
1981,93
1982,25.3
1983,46
1994,81
