UF,RN
Cidade,ALEXANDRIA
Nome Posto,ALEXANDRIA
Latitude,-6.416666666666667
Longitude,-38.016666666666666
Codigo,638037
Qtd. Anos,57
Ano,Maxima
1930,42
1936,54
1937,90
1938,70
1939,69
1940,71.4
1941,44
1942,47.3
1943,60.7
1944,79
1945,94
1946,87
1947,108
1948,63
1949,54.5
1950,107
1951,147
1952,70
1953,98
1954,110
1955,67
1956,119
1957,105
1958,93
1959,100
1960,19
1961,77
1962,63
1963,122
1964,65.2
1965,76.2
1966,75.3
1967,113.2
1968,94
1969,79.2
1970,76
1971,67
1972,61
1973,67
1974,85
1975,86
1976,86.7
1977,118
1978,106
1979,51
1980,145
1981,67.2
1982,60.5
1983,41.2
1984,46
1985,98.3
1986,61.7
1987,91.4
1988,104
1989,47.1
1990,72
1991,23
