UF,RN
Cidade,MARTINS
Nome Posto,MARTINS
Latitude,-6.083333333333333
Longitude,-37.916666666666664
Codigo,637015
Qtd. Anos,81
Ano,Maxima
1911,70.2
1912,68.2
1913,80
1914,107
1915,72.6
1916,82.5
1917,111.2
1918,66
1919,30
1920,90
1921,97
1922,70
1923,70
1924,43
1925,73
1926,65
1927,63.2
1928,66
1929,59
1930,60
1931,60.9
1932,65.3
1933,56
1934,84.5
1935,70
1936,66
1937,67
1938,140
1939,62.5
1940,106
1941,52.7
1942,73.3
1943,150
1944,93
1945,100
1946,124.2
1947,97
1948,78
1949,63.5
1950,86
1951,48
1952,130.5
1953,77
1954,106
1955,168
1956,130
1957,105.6
1958,63
1959,105
1960,77
1961,102
1962,104
1963,157.8
1964,110
1965,105.6
1966,117
1967,85
1968,106
1969,101.6
1970,72.2
1971,67
1972,156
1973,140.2
1974,145
1975,115
1976,82
1977,140
1978,128
1979,112
1980,77.6
1981,126
1982,150
1983,140
1984,76
1985,130
1986,91
1987,92
1988,95.5
1989,75
1990,45
1991,100
