UF,RN
Cidade,CAICO
Nome Posto,ACUDE MUNDO NOVO
Latitude,-6.383333333333334
Longitude,-37.06666666666667
Codigo,637005
Qtd. Anos,51
Ano,Maxima
1922,77
1923,69.5
1924,72
1925,63.1
1926,31
1927,52
1928,58.7
1929,46.6
1930,35.2
1938,34.2
1939,63
1940,65.5
1941,55
1942,31.6
1943,87.2
1944,87.6
1945,95.8
1946,56
1947,57.3
1948,77.2
1962,8
1963,110
1964,100
1965,88.8
1966,72.2
1967,78.2
1968,41.6
1969,60.4
1970,22.1
1971,58
1972,90
1973,52
1974,69.6
1975,70
1976,46
1977,155.4
1978,71
1979,46
1980,78.3
1981,47
1982,92.8
1983,55.6
1984,95.3
1985,145.5
1986,82.6
1987,58.6
1988,54.5
1989,118
1990,41.9
1991,78.1
1994,56.1
