UF,RN
Cidade,CAICO
Nome Posto,ACUDE ITANS
Latitude,-6.483333333333333
Longitude,-37.06666666666667
Codigo,637021
Qtd. Anos,41
Ano,Maxima
1947,155.5
1948,166.7
1949,81.5
1950,66.2
1951,70.3
1952,42
1953,53.2
1954,56.2
1955,52.4
1956,51.9
1957,100.3
1958,53.5
1959,86
1960,151.8
1961,76.6
1962,42.2
1963,93
1964,83
1965,66.6
1966,62.3
1967,38.2
1968,71.9
1969,57
1970,52.5
1971,54
1972,55
1973,36.9
1974,100.5
1975,73.9
1976,242
1977,82.8
1978,45.1
1979,48
1980,45.5
1981,47
1982,79.5
1983,52.2
1984,84
1985,151.2
1993,42.8
1994,59
