UF,RN
Cidade,CARAUBAS
Nome Posto,CARAUBAS
Latitude,-5.783333333333333
Longitude,-37.56666666666667
Codigo,537006
Qtd. Anos,76
Ano,Maxima
1910,22
1911,66
1912,165
1913,57.5
1914,70.3
1915,41.4
1916,67
1917,64.6
1918,59.6
1919,24
1920,70.8
1921,91.3
1922,55.1
1923,56
1924,90.1
1925,126
1926,66
1927,50
1928,63
1929,43.1
1930,35
1931,72
1932,36
1933,70
1934,62
1935,90
1936,82
1938,136
1939,94
1940,116
1941,75
1943,39
1944,70
1945,64
1946,45
1947,72
1949,75
1950,43
1951,75
1952,161
1953,30
1954,68
1955,82
1956,65
1957,61
1958,38
1962,18
1963,95
1964,131.9
1965,140.4
1966,58
1967,79.2
1968,60.2
1969,61
1970,94
1971,67
1972,68
1973,92
1974,68
1975,71.8
1976,54
1977,92
1978,116
1979,72.4
1980,59
1981,61.6
1982,80
1983,52.2
1984,75
1985,101
1986,65
1987,77
1988,64
1989,95
1990,42
1991,82
