UF,RN
Cidade,ACARI
Nome Posto,ACUDE GARGALHEIRAS
Latitude,-6.4
Longitude,-36.583333333333336
Codigo,636007
Qtd. Anos,68
Ano,Maxima
1922,47.6
1923,83
1924,72.4
1925,70
1926,83.4
1927,43
1928,33
1929,80.1
1930,106.6
1931,70
1932,30.1
1933,42.8
1934,42.7
1935,57.4
1936,102.8
1937,42.1
1938,79.9
1939,51
1940,65.3
1941,23.2
1943,45
1944,122.1
1945,44.2
1946,40.9
1947,105.8
1948,32.1
1949,70.7
1950,36.6
1951,44.5
1952,91.2
1953,34.5
1954,51
1955,10.6
1956,5
1957,15.5
1958,11
1961,81
1962,56
1963,43.7
1964,91
1965,93
1966,137
1967,72
1968,76
1969,51
1970,52
1971,45.2
1972,32.1
1973,99
1974,65.5
1975,53.6
1976,105.2
1977,69.3
1978,56
1979,70.5
1980,65.6
1981,51.8
1982,62
1983,55
1984,39
1985,109
1986,72.2
1987,66
1988,65
1989,55.2
1990,59
1991,75
1994,49.2
