UF,RN
Cidade,ANGICOS
Nome Posto,ANGICOS
Latitude,-5.666666666666667
Longitude,-36.6
Codigo,536024
Qtd. Anos,78
Ano,Maxima
1911,36
1912,142.1
1913,69.3
1914,67.4
1915,54
1916,51.5
1917,59.2
1918,71.8
1919,48.9
1920,60.7
1921,123
1922,101.7
1923,58.5
1924,72
1925,60.4
1926,36.8
1927,63.7
1928,66.2
1929,84.9
1930,70.2
1931,35.7
1932,47
1933,270.4
1934,50.3
1935,67.4
1936,36.5
1937,60.6
1938,39.7
1939,76.6
1940,82
1941,44.4
1942,32.9
1943,64
1944,60
1945,55
1946,60
1947,52.4
1948,30
1949,57
1950,58.4
1951,22
1952,52.3
1953,64.5
1954,57.9
1955,86.3
1956,48
1957,142
1958,42
1959,71
1960,47
1961,104
1962,60.5
1963,55
1964,86.5
1965,102.6
1966,56
1967,81.2
1968,98.2
1969,62
1970,106.8
1971,127.6
1972,71.6
1973,60.4
1974,72
1975,66.4
1976,46.1
1977,73
1978,39
1979,101
1980,49
1981,67.5
1982,58
1983,61.6
1984,41
1985,104.5
1986,69.3
1987,52.4
1988,25.6
