UF,RN
Cidade,JARDIM DO SERIDO
Nome Posto,SITIO PASSAGEM
Latitude,-6.583333333333333
Longitude,-36.78333333333333
Codigo,636013
Qtd. Anos,59
Ano,Maxima
1926,52.2
1927,50.5
1928,28.8
1929,71.3
1930,65.9
1931,32.5
1932,38.6
1933,66.2
1934,45.4
1935,57.5
1936,65
1937,36.2
1938,44.6
1939,46.2
1940,96.5
1941,62.4
1942,33.5
1943,47.3
1944,82.2
1945,103.2
1946,60.5
1947,53.2
1948,40.8
1949,119.5
1950,58.3
1951,38.1
1952,50.2
1953,27.3
1954,58.7
1955,53.2
1956,42.2
1957,62
1958,20.2
1959,36.7
1960,93
1961,93
1962,58
1963,77
1964,112
1965,116
1966,64
1967,45
1968,71
1969,47
1970,97
1971,65.6
1972,125
1973,59
1974,84.2
1975,83
1976,141.5
1977,75
1978,46
1979,80
1980,66.2
1981,73
1982,42
1983,85
2011,7.6
