UF,RN
Cidade,JUCURUTU
Nome Posto,JUCURUTU
Latitude,-6.033333333333333
Longitude,-37.016666666666666
Codigo,637011
Qtd. Anos,75
Ano,Maxima
1910,60
1911,61
1912,65.3
1917,29
1921,49.4
1922,63.7
1923,56.5
1924,19.5
1925,52.5
1926,49.5
1927,58.5
1928,41.5
1929,117
1930,52
1931,90
1932,64
1933,44
1934,60.5
1935,83.5
1936,52.2
1937,68
1938,62
1939,58
1940,100
1941,36.5
1942,42.4
1943,49
1944,70
1945,105
1946,217.3
1947,150.8
1948,117
1949,105
1950,160
1951,48
1952,113
1953,100
1954,115
1955,100
1956,79
1957,157
1958,35
1959,97
1960,197.5
1961,137
1962,150
1963,82.8
1964,64.2
1965,61.6
1966,100.9
1967,71.4
1968,83.1
1969,60.2
1970,68.6
1971,92.6
1972,55
1973,69.3
1974,133.8
1975,89.2
1976,63.8
1978,48.2
1979,65.2
1980,70.2
1981,65.4
1982,121.8
1983,36.8
1984,80.4
1985,58
1986,68
1987,106.6
1988,93
1989,93.2
1990,47
1991,42.4
1994,93
