UF,RN
Cidade,TAIPU
Nome Posto,TAIPU - PARTICULAR
Latitude,-5.616666666666667
Longitude,-35.6
Codigo,535011
Qtd. Anos,79
Ano,Maxima
1911,53.3
1912,78.7
1913,121.6
1914,66.1
1915,64.2
1916,48.9
1917,63
1918,79
1919,41.4
1920,50.8
1921,67.8
1922,72.4
1923,29.2
1924,80.5
1925,73.8
1926,89.8
1927,67.5
1928,68.2
1929,43.6
1930,77.9
1931,65.5
1932,54.2
1933,56.8
1934,61.7
1935,95
1936,41.5
1937,31.1
1938,30
1939,39
1940,75.2
1941,30.7
1943,60.1
1944,40.1
1945,48.4
1946,19.2
1947,20.3
1948,53.5
1949,59.2
1950,77.2
1951,218.3
1952,92.3
1953,56.3
1954,52.3
1955,146.3
1956,60.3
1957,140.5
1958,60.4
1959,48.2
1960,195.3
1961,61.5
1962,47.2
1963,90
1964,80.1
1965,102.2
1966,84.2
1967,70.2
1968,42.3
1969,26.1
1970,43.9
1971,57.4
1972,60.4
1973,158.4
1974,224.8
1975,150.8
1976,252.5
1977,158.6
1978,142.2
1979,146.4
1980,103.2
1981,160.2
1982,335.6
1983,124.2
1984,121.2
1985,157.2
1986,126.2
1987,121.6
1988,142.2
1989,152.4
1990,84.2
