UF,RN
Cidade,SAO RAFAEL
Nome Posto,SAO RAFAEL
Latitude,-5.8
Longitude,-36.916666666666664
Codigo,536031
Qtd. Anos,66
Ano,Maxima
1923,66
1924,57.7
1925,56.6
1926,47
1927,39.4
1928,65
1929,45.6
1930,68
1931,87.4
1932,40
1933,90.5
1934,50.5
1935,68
1936,69
1937,55
1938,91
1939,112
1940,98
1941,72.4
1942,44
1943,39.5
1944,70
1945,62.2
1946,52.4
1947,114
1949,86
1950,36
1951,60
1952,34
1953,31
1954,20
1955,56
1956,75
1957,97
1958,17
1959,44
1960,72
1961,94
1962,38
1963,71
1964,85.3
1965,82.5
1966,79.2
1967,162
1968,58.7
1969,52
1970,47
1971,53.2
1972,70
1973,103
1974,100
1975,62.2
1976,57
1977,75
1978,87
1979,60
1980,50
1982,13
1984,150
1985,167.3
1986,143
1987,57
1988,65.4
1989,54
1990,90
1994,61
