UF,RN
Cidade,MOSSORO
Nome Posto,MOSSORO - PARTICULAR
Latitude,-5.2
Longitude,-37.35
Codigo,537023
Qtd. Anos,73
Ano,Maxima
1910,20
1917,92
1918,141.4
1919,33.4
1920,54.5
1921,113.7
1922,60.4
1923,36.2
1924,50.5
1925,36.2
1926,82.2
1927,26
1928,90.4
1929,48.6
1930,34.9
1931,64
1932,33.5
1933,33.2
1934,58.2
1935,66.1
1936,33
1937,56
1938,87.5
1939,42.8
1940,99.3
1941,38.6
1942,50.7
1943,35.7
1944,84.4
1945,86.6
1946,98
1947,56.5
1948,65.1
1949,85
1950,135
1951,71
1952,36
1953,27
1954,45
1955,40
1956,78
1957,59.3
1958,65
1961,22
1962,48.8
1963,57
1964,141
1965,118.4
1966,127.4
1967,52.4
1968,90.3
1969,62.5
1970,50.3
1971,65.4
1972,42.8
1973,49.6
1974,124.2
1975,112
1976,15.6
1977,80.6
1978,48
1979,47
1980,45.8
1981,56.4
1982,56.4
1984,111
1985,111.6
1988,23.8
1989,67
1990,45
1991,77
1994,69.8
1995,32.4
