UF,RN
Cidade,CERRO CORA
Nome Posto,RECANTO
Latitude,-5.866666666666667
Longitude,-36.28333333333333
Codigo,536011
Qtd. Anos,61
Ano,Maxima
1916,34.9
1917,75.4
1918,67
1919,27.5
1920,28.5
1934,80.4
1935,92.2
1936,101.6
1938,92
1939,70
1940,81
1941,41.8
1943,74
1944,83.1
1945,60
1946,84
1947,70.9
1948,33.5
1949,39.7
1950,46.2
1951,31.4
1952,6.6
1953,21
1954,15.2
1955,37
1956,34.5
1957,4.6
1958,2.8
1959,3.5
1960,14
1961,32.6
1962,45.2
1963,75
1964,91.3
1965,54
1966,92.4
1967,76.7
1968,73
1969,93.3
1970,36.6
1971,49
1972,105.1
1973,62
1974,121.5
1975,61.3
1976,60.2
1977,48.4
1978,59.2
1979,48.7
1980,24.4
1981,95
1982,75
1983,16
1984,50.9
1985,7.3
1986,10
1987,3.5
1988,30.2
1989,70.7
1990,30
1991,28
