UF,RN
Cidade,JOAO DIAS
Nome Posto,JOAO DIAS
Latitude,-6.266666666666667
Longitude,-37.8
Codigo,637002
Qtd. Anos,59
Ano,Maxima
1933,5.1
1934,117
1935,91.3
1936,94
1937,110
1938,64
1939,82.7
1940,70
1941,35.2
1942,49.8
1943,110
1944,68.4
1945,150.8
1946,92.5
1947,82
1948,65
1949,58.1
1950,48.1
1951,51.3
1952,113.2
1953,70.5
1954,112.8
1955,102.2
1956,105.2
1957,102
1958,51.5
1959,112.3
1960,83
1961,102.8
1962,46.8
1963,86.9
1964,98.2
1965,118
1966,92.8
1967,166.1
1968,82.8
1969,78.1
1970,51.8
1971,70.1
1972,95
1973,59.9
1974,136.6
1975,78.1
1976,92
1977,92.3
1978,131.1
1979,62.8
1980,115.2
1981,81.1
1982,102.1
1983,42
1984,69.9
1985,83
1986,75
1987,30.2
1988,75
1989,84
1990,83
1991,80
