UF,RN
Cidade,SAO PAULO DO POTENGI
Nome Posto,SAO PAULO DO POTENGI
Latitude,-5.9
Longitude,-35.766666666666666
Codigo,535013
Qtd. Anos,59
Ano,Maxima
1933,9.7
1934,34.2
1935,72.7
1936,71.2
1937,24.2
1938,44.8
1939,66.1
1940,48.2
1941,57.3
1942,43.2
1943,52.2
1944,49
1945,116.5
1946,33.2
1947,42
1948,66
1949,70
1950,85
1951,118
1952,45.5
1953,48
1954,66.3
1955,53
1956,52.3
1957,41.5
1958,48
1959,57.3
1960,58.2
1961,67
1962,40
1963,66.7
1964,75
1965,32
1966,70
1967,93.8
1968,79
1969,51
1970,38
1971,77
1972,44
1973,47.3
1974,125
1975,42.6
1976,32.6
1977,70
1978,45
1979,45
1980,81.4
1981,50
1982,94.4
1983,15
1984,30.6
1985,51
1986,58
1987,50
1988,118
1989,31
1990,24
1991,70
