UF,RN
Cidade,AFONSO BEZERRA
Nome Posto,AFONSO BEZERRA
Latitude,-5.5
Longitude,-36.5
Codigo,536032
Qtd. Anos,57
Ano,Maxima
1934,66.5
1935,128
1936,30
1938,37
1939,32.5
1940,70
1941,124
1942,30
1943,44
1944,50
1945,60
1946,21
1947,40
1948,88
1949,58
1950,55
1951,21
1952,51
1953,25
1954,85
1955,62
1956,60
1957,58
1958,35
1959,52
1960,45
1961,80
1962,62
1963,76.3
1964,145
1965,62
1966,80.6
1967,80
1968,118.8
1969,29.5
1970,72.2
1971,42
1972,132.3
1973,96
1974,133
1975,53.8
1976,47.4
1977,58.2
1978,68.4
1979,50
1980,45
1981,40
1982,80
1983,34
1984,115
1985,90
1986,106
1987,75.5
1988,85
1989,78
1990,50
1991,51
