UF,RN
Cidade,MACAIBA
Nome Posto,PIRIPIRI
Latitude,-5.85
Longitude,-35.35
Codigo,535002
Qtd. Anos,56
Ano,Maxima
1911,56.2
1912,182
1913,117.6
1914,92
1915,85.2
1916,78.2
1917,112.4
1918,50
1919,56.4
1920,42.4
1921,62.5
1922,64.8
1923,67
1924,66.5
1925,65
1926,92
1927,71.5
1928,98.6
1929,72.2
1930,58.8
1935,134.5
1936,15
1938,65.5
1939,97.2
1940,74.5
1941,58.3
1943,86.5
1944,50
1945,62.9
1946,65.4
1947,56
1949,64
1950,70
1951,76
1952,76
1953,86
1954,62.3
1955,85
1956,74
1957,57.4
1958,45.5
1959,60.5
1960,100.8
1961,138.2
1962,67.8
1983,3
1984,82
1985,120
1986,110
1987,61
1988,75.2
1989,74.8
1990,46.4
1991,64.6
1993,12.5
1994,32.6
