UF,RN
Cidade,SANTANA DOS MATOS
Nome Posto,SANTANA DO MATOS
Latitude,-5.966666666666667
Longitude,-36.65
Codigo,536018
Qtd. Anos,81
Ano,Maxima
1911,72.7
1912,48.6
1913,68.5
1914,67
1915,67
1916,86
1917,66
1918,64
1919,21
1920,79
1921,66
1922,66
1923,74.4
1924,98.2
1925,70
1926,68.3
1927,57
1928,57
1929,67.8
1930,66
1931,65
1932,67
1933,43.6
1934,70
1935,89
1936,63
1937,56
1938,56
1939,62
1940,67.7
1941,42.3
1942,40.4
1943,53
1944,66
1945,50
1946,64
1947,106.1
1948,75
1949,101.4
1950,75.5
1951,106
1952,154
1953,56
1954,133
1955,96.4
1956,68
1957,122.5
1958,74.5
1959,73
1960,111
1961,112
1962,72
1963,112
1964,135.1
1965,131
1966,51.5
1967,102
1968,81.6
1969,41.3
1970,45.4
1971,72.6
1972,84.3
1973,90
1974,74.3
1975,97.1
1976,100.2
1977,97.4
1978,78.2
1979,69.6
1980,52.8
1981,78
1982,80.8
1983,48.2
1984,110.6
1985,89
1986,81.6
1987,62.5
1988,63.3
1989,65
1990,77.1
1991,66.8
