UF,RN
Cidade,GOVERNADOR DIX-SEPT ROSADO
Nome Posto,GOVERNADOR DIX-SEPT ROSADO
Latitude,-5.466666666666667
Longitude,-37.516666666666666
Codigo,537013
Qtd. Anos,82
Ano,Maxima
1910,60
1911,84
1912,78
1913,70.9
1914,68
1915,27.5
1916,71
1917,68.3
1918,41.6
1919,21.5
1920,54
1921,62.5
1922,82.5
1923,70.6
1924,80.5
1925,80
1926,70
1927,72.2
1928,48
1929,80
1930,47
1931,43.5
1932,53.5
1933,60.5
1934,67.5
1935,60.5
1936,57.8
1937,105
1938,80
1939,83
1940,85.7
1941,50.5
1942,52
1943,80
1944,62.8
1945,107.5
1946,80
1947,75.4
1948,84.3
1949,77
1950,75
1951,46.5
1952,111
1953,43
1954,74
1955,39
1956,76.2
1957,127.3
1958,28
1959,82
1960,131
1961,310
1962,78
1963,160.6
1964,96.3
1965,71.2
1966,72.2
1967,61.5
1968,64
1969,50
1970,110
1971,38.4
1972,135.6
1973,32.4
1974,134.6
1975,84
1976,64.3
1977,49.5
1978,80
1979,89
1980,56.1
1981,83
1982,44
1983,16.2
1984,75.5
1985,80.5
1986,110
1987,80
1988,65
1989,74
1990,51.2
1991,51
