UF,RN
Cidade,LUCRECIA
Nome Posto,LUCRECIA
Latitude,-6.116666666666666
Longitude,-37.81666666666667
Codigo,637009
Qtd. Anos,48
Ano,Maxima
1922,100.8
1923,95
1924,24.1
1925,80
1946,167
1947,85
1948,86
1950,87
1951,67.5
1952,107
1953,109
1954,92
1955,133
1956,56
1957,59
1958,91
1959,122
1961,121
1962,57
1963,133
1964,150.5
1965,88
1966,85.3
1967,95.1
1968,73.4
1969,76.3
1970,37.5
1971,45
1972,163.5
1973,75.6
1974,73
1975,105.8
1976,139.4
1977,64.4
1978,75
1979,30.4
1980,49.2
1981,61
1982,188.6
1983,73.4
1984,52.8
1985,92
1986,112.5
1987,122
1988,85
1989,70.8
1990,40.8
1991,105.6
