UF,RN
Cidade,CEARA-MIRIM
Nome Posto,CEARA-MIRIM
Latitude,-5.633333333333333
Longitude,-35.43333333333333
Codigo,535027
Qtd. Anos,55
Ano,Maxima
1930,42.2
1931,63.2
1932,66.2
1933,68.5
1934,60.9
1935,99.1
1936,91.5
1937,72.9
1938,65.5
1939,83.4
1940,138.1
1941,70
1943,66.3
1944,69.1
1945,72.1
1946,88.9
1947,52.5
1948,56.5
1949,93
1950,120.5
1951,120.6
1952,55.2
1953,45
1954,90
1955,93.7
1956,56
1957,102.8
1958,75.2
1959,64.2
1960,44.3
1961,60
1962,35.2
1963,42.2
1964,72.6
1965,60.8
1966,59.4
1967,138.2
1968,113
1969,106.4
1970,72.4
1971,91.2
1972,113.2
1973,88
1974,107.3
1975,72.6
1976,116
1977,89.1
1978,95.8
1979,44.9
1980,72.8
1981,148.5
1982,136.9
1983,42
1984,106.2
1985,71.6
