UF,RN
Cidade,JOAO CAMARA
Nome Posto,JOAO CAMARA (BAIXA VERDE)
Latitude,-5.533333333333333
Longitude,-35.81666666666667
Codigo,535017
Qtd. Anos,57
Ano,Maxima
1930,19.5
1931,65.8
1932,43.6
1933,68.5
1934,84.3
1935,72.8
1936,50.3
1937,36.3
1938,7
1939,60.5
1940,77
1941,63
1943,55
1945,72
1946,55
1947,65
1948,43
1949,46.6
1950,75.6
1951,79.4
1952,36.2
1953,47.4
1954,44.6
1955,104.5
1956,56.2
1957,53.2
1958,26.3
1959,76.4
1960,45.4
1961,98.5
1962,49.3
1963,96.6
1964,70.1
1965,67.3
1966,52.5
1967,65.6
1968,95.1
1969,48.7
1970,49.5
1971,64.1
1972,78.9
1973,35.2
1974,83.6
1975,63.5
1976,76.7
1977,87.7
1978,46.5
1979,31.5
1980,53
1981,88.3
1982,64
1983,29.4
1984,59.6
1985,77.2
1990,37.2
1991,65.2
1994,64.4
