UF,AM
Cidade,LABREA
Nome Posto,RESTAURANTE PORTEIRA DO AMAZONAS
Latitude,-9.500833333333333
Longitude,-67.28222222222222
Codigo,967004
Qtd. Anos,40
Ano,Maxima
1980,59.2
1981,105.4
1982,67.4
1983,78.1
1984,105.4
1985,109.1
1986,70.1
1987,65
1988,80.4
1989,85.4
1990,32
1991,34
1992,120
1993,119
1994,70
1995,103.3
1996,173
1997,196
1998,102
1999,135.5
2000,51
2001,124
2002,75
2003,71
2004,93
2005,123.5
2006,53.4
2007,82.9
2008,132.4
2009,101
2010,134.1
2011,110.9
2012,100.6
2013,143.8
2014,83.6
2015,14.6
2016,47.2
2017,77.2
2018,99.2
2019,93.7
