UF,AM
Cidade,NOVA OLINDA DO NORTE
Nome Posto,NOVA OLINDA DO NORTE
Latitude,-3.8847222222222224
Longitude,-59.08972222222222
Codigo,359001
Qtd. Anos,39
Ano,Maxima
1980,61.8
1981,93.2
1982,95.6
1983,108.9
1984,79.8
1985,91.2
1988,93.4
1989,137.6
1990,93.2
1991,108.2
1992,83.2
1993,90.8
1994,145.6
1995,101
1996,61.2
1997,66.8
1998,117.6
1999,77
2000,99
2001,70.8
2002,82.4
2003,88.6
2004,79.4
2005,94.6
2006,92.8
2007,145.2
2008,90.6
2009,37.2
2010,48
2011,70.2
2012,104
2013,44.2
2014,55.2
2015,48.8
2016,42.6
2017,46.8
2018,82.2
2019,171.3
2020,41.2
