UF,AM
Cidade,BORBA
Nome Posto,BORBA
Latitude,-4.39138888888889
Longitude,-59.598333333333336
Codigo,459000
Qtd. Anos,39
Ano,Maxima
1982,141.4
1983,75
1984,179.8
1985,116.9
1986,99.6
1987,92.5
1988,86.3
1989,93
1990,215
1991,259
1992,45.6
1993,88.1
1994,144.3
1995,107.9
1996,92.3
1997,76.7
1998,66.1
1999,103
2000,100.6
2001,100.9
2002,97.4
2003,64.3
2004,90.4
2005,125.7
2006,61.7
2007,96.1
2008,78.6
2009,65.7
2010,98.7
2011,45.6
2012,102
2013,71.5
2014,71.5
2015,68.5
2016,58.6
2017,41.7
2018,70.1
2019,93.4
2020,38.1
