UF,AM
Cidade,JUTAI
Nome Posto,PORTO ANTUNES
Latitude,-2.890277777777778
Longitude,-66.94916666666667
Codigo,266004
Qtd. Anos,35
Ano,Maxima
1979,84.2
1980,80.2
1981,100.9
1982,110.2
1983,92.4
1984,194
1985,107.6
1986,91.2
1987,150.8
1988,96.2
1995,89.8
1996,100.9
1997,90.2
1998,78.8
1999,111.3
2000,69.5
2001,85.7
2002,93.9
2003,161.7
2004,115.9
2005,77
2006,116.2
2007,81.7
2008,89.6
2009,144.8
2010,123.1
2011,97.3
2012,85.9
2013,93.1
2014,87.2
2015,95.2
2016,118.5
2017,84.9
2018,120.8
2019,113.3
