UF,AM
Cidade,LABREA
Nome Posto,CACHOEIRA
Latitude,-7.7155555555555555
Longitude,-66.05833333333334
Codigo,765000
Qtd. Anos,42
Ano,Maxima
1978,83.8
1979,142
1980,118.5
1981,91.5
1982,95.5
1983,83.8
1984,150
1985,100.6
1986,104.8
1987,137.8
1988,110.8
1989,103.6
1990,75.2
1991,52.2
1992,98.2
1993,104.4
1994,67.2
1995,119
1996,75.2
1997,99.2
1998,138.4
1999,114.2
2000,68.2
2001,85.6
2002,75.6
2003,75.2
2004,82
2005,105
2006,96.2
2007,101.4
2008,147.6
2009,80.4
2010,81.6
2011,114.3
2012,125.4
2013,115.8
2014,116.4
2015,105.4
2016,119.6
2017,143.5
2018,165.4
2019,110.5
