UF,AM
Cidade,SAO GABRIEL DA CACHOEIRA
Nome Posto,SAO GABRIEL DA CACHOEIRA
Latitude,-0.12527777777777777
Longitude,-67.0611111111111
Codigo,67000
Qtd. Anos,36
Ano,Maxima
1961,94.9
1962,91.9
1963,83.7
1964,93.6
1965,69.1
1966,142.8
1967,115.3
1968,104.6
1969,76.1
1970,77.4
1975,77.9
1976,91.7
1977,137
1978,109.6
1979,109
1980,78.7
1981,99.9
1982,230
1983,102.6
1984,107
1985,78.6
1986,116.4
1987,86
1988,93.2
1989,83.4
1990,74.9
1991,125.4
1992,93.8
1993,153
1994,92.2
1995,84.5
1996,87.5
1997,78.5
1998,96.4
2017,70.6
2018,159.2
