UF,AM
Cidade,TEFE
Nome Posto,SERINGAL MOREIRA
Latitude,-5.109166666666666
Longitude,-63.984722222222224
Codigo,563000
Qtd. Anos,38
Ano,Maxima
1980,81.4
1981,21.2
1982,98.2
1983,114.2
1984,202.2
1985,109
1986,115.3
1987,122
1988,100.3
1989,204.8
1990,93.6
1992,136.5
1993,141.6
1994,78.4
1995,100.8
1997,75.8
1998,91.6
1999,97
2000,99.1
2001,79
2002,140
2003,76
2004,156
2005,91
2006,144.5
2007,250
2008,60
2009,89.1
2010,88
2011,160.6
2012,94
2013,79
2014,95.5
2015,96.7
2016,56.3
2017,100.3
2018,94.8
2019,96.7
