UF,AM
Cidade,BORBA
Nome Posto,BARRA DO SAO MANUEL
Latitude,-7.338888888888889
Longitude,-58.155
Codigo,758000
Qtd. Anos,43
Ano,Maxima
1975,76.4
1976,94.7
1977,62.4
1978,101.2
1979,136.2
1980,74
1981,105
1982,87.1
1983,30.3
1984,72.6
1985,87
1986,137
1987,145.6
1988,87
1989,99.6
1990,76.3
1993,97.5
1994,72.6
1995,95.5
1996,83.6
1997,92.3
1998,134.5
1999,99.7
2000,69.1
2001,68.1
2002,67.1
2003,61.8
2004,60
2005,91.2
2006,108.2
2007,77.7
2008,98.7
2009,102.7
2010,92.7
2011,88.4
2012,128.7
2013,99.5
2014,109.1
2015,88.8
2016,238.8
2017,197.3
2018,195.4
2019,139.7
