UF,AM
Cidade,EIRUNEPE
Nome Posto,SOLEDADE
Latitude,-6.613888888888889
Longitude,-69.12166666666666
Codigo,669001
Qtd. Anos,39
Ano,Maxima
1982,25.6
1983,50
1984,84
1985,99
1986,76.8
1987,100
1988,85.4
1989,88.6
1990,94.6
1991,54.8
1992,44.6
1993,75.6
1994,53.8
1995,100
1996,90
1997,95
1998,100.1
1999,140
2000,99.6
2001,100.6
2002,100
2003,111.7
2004,111.5
2005,100.6
2006,100
2007,106.5
2008,120
2009,115.6
2010,80.4
2011,98.7
2012,97.6
2013,40
2014,50
2015,97.5
2016,45
2017,108.7
2018,142.4
2019,94.1
2020,36.7
