UF,AM
Cidade,NHAMUNDA
Nome Posto,NHAMUNDA
Latitude,-2.189722222222222
Longitude,-56.71055555555556
Codigo,256002
Qtd. Anos,38
Ano,Maxima
1982,25.4
1983,40
1984,76.6
1985,118.4
1986,122.8
1987,113.6
1988,125.4
1989,119.7
1990,99.2
1991,101.8
1992,118.1
1993,96.3
1994,98.6
1995,87.8
1996,110
1997,95.5
1998,116.2
1999,100.3
2000,96.2
2001,133.3
2002,92.5
2003,92.1
2004,95.4
2005,92.9
2006,96.2
2007,145.3
2008,89.9
2009,105.2
2010,100.9
2011,105.8
2012,89.7
2013,94.8
2014,130.8
2015,89.3
2016,94.6
2017,81.7
2018,111.7
2019,64.3
