UF,AM
Cidade,PAUINI
Nome Posto,SERINGAL FORTALEZA
Latitude,-7.717222222222222
Longitude,-66.98472222222222
Codigo,766001
Qtd. Anos,46
Ano,Maxima
1975,67
1976,68
1977,140
1978,79.2
1979,103
1980,100.5
1981,98.2
1982,156.4
1983,135.4
1984,126.4
1985,75.4
1986,199.4
1987,161.2
1988,114.4
1989,143.7
1990,110.1
1991,70
1992,124.4
1993,71.6
1994,15.8
1995,272.6
1996,94.5
1997,74.8
1998,64.8
1999,117
2000,96.7
2001,80.9
2002,104.3
2003,92
2004,64.5
2005,124.5
2006,110.9
2007,103.5
2008,61.4
2009,105.3
2010,98.9
2011,102.8
2012,108.7
2013,90.2
2014,45.7
2015,49.7
2016,46.3
2017,47.3
2018,85.8
2019,128.7
2020,29.2
