UF,AM
Cidade,BARCELOS
Nome Posto,MOURA
Latitude,-1.458888888888889
Longitude,-61.63305555555556
Codigo,161002
Qtd. Anos,41
Ano,Maxima
1979,90.5
1980,67.8
1981,95
1982,126.6
1983,79.8
1984,77.6
1985,56.7
1986,84.3
1987,68.4
1988,72.6
1989,75.6
1990,88.1
1991,155
1992,83.1
1993,99.3
1994,78.5
1995,58.3
1996,137.3
1997,87.1
1998,62.5
1999,80.2
2000,71
2001,133.4
2002,146.4
2003,74.2
2004,107
2005,113.4
2006,73.1
2007,66.1
2008,101.6
2009,81.5
2010,131.2
2011,117.3
2012,90.8
2013,69.2
2014,60.2
2015,103.6
2016,119
2017,119.5
2018,88.5
2019,103.4
