UF,AM
Cidade,NOVO ARIPUANA
Nome Posto,SERINGAL JENIPAPO
Latitude,-6.000277777777778
Longitude,-60.187777777777775
Codigo,660000
Qtd. Anos,44
Ano,Maxima
1977,31.4
1978,121
1979,90.6
1980,105.4
1981,133.8
1982,147
1983,125
1984,101.8
1985,145
1986,144.4
1987,95.3
1988,147.2
1989,145
1990,145
1991,145
1992,187.6
1993,88.2
1994,86.4
1995,115.4
1996,118.3
1997,98.6
1998,74.9
1999,101.8
2000,94.2
2001,91.2
2002,96.8
2003,87.2
2004,96.9
2005,419
2006,88.2
2007,82.9
2008,87.7
2009,101.3
2010,116.6
2011,100.7
2012,100.4
2013,113.7
2014,141.2
2015,129.3
2016,95.9
2017,72.7
2018,76.5
2019,77.7
2020,58
