UF,AM
Cidade,ENVIRA
Nome Posto,ENVIRA
Latitude,-7.428055555555556
Longitude,-70.0225
Codigo,770000
Qtd. Anos,42
Ano,Maxima
1978,93.2
1979,90.5
1980,58.8
1981,180.8
1982,194.1
1983,71.5
1984,110.5
1985,97
1986,113.2
1987,88.6
1988,133.4
1989,95.3
1990,134.3
1991,130.2
1992,86.1
1993,116.4
1994,86.2
1995,57.4
1996,90.2
1997,102.7
1998,98.2
1999,113.8
2000,78.2
2001,100.2
2002,97.4
2003,98.2
2004,98.6
2005,75.6
2006,105.4
2007,94.2
2008,95.2
2009,98.4
2010,65.2
2011,85.1
2012,98.7
2013,28.9
2014,28.9
2015,61
2016,31
2017,100.4
2018,88.2
2019,87.7
