UF,AM
Cidade,SAO PAULO DE OLIVENCA
Nome Posto,SAO PAULO DE OLIVENCA
Latitude,-3.456944444444445
Longitude,-68.91194444444444
Codigo,368001
Qtd. Anos,49
Ano,Maxima
1972,107.6
1973,150
1974,89.3
1975,95.6
1976,107.2
1977,79.3
1978,135
1979,126
1980,86.4
1981,107
1982,122.4
1983,205
1984,86.4
1985,83
1986,86
1987,77.4
1988,68.4
1989,145
1990,95
1991,100
1992,91
1993,75.4
1994,58.4
1995,138.8
1996,114
1997,99
1998,72.4
1999,94.4
2000,116.8
2001,96.6
2002,81.8
2003,100.2
2004,86.8
2005,88.8
2006,86.9
2007,86.1
2008,98.6
2009,71.3
2010,95.7
2011,85.3
2012,88.9
2013,96.1
2014,88.1
2015,50.8
2016,66.1
2017,93.7
2018,79.8
2019,110.5
2020,92.9
