UF,AM
Cidade,BARCELOS
Nome Posto,UMANAPANA
Latitude,-1.8872222222222221
Longitude,-62.43666666666666
Codigo,162002
Qtd. Anos,37
Ano,Maxima
1982,68.4
1984,73
1985,78.7
1986,135
1987,85.8
1988,130
1989,82
1990,202.6
1991,81.4
1992,80
1993,68.4
1994,80.3
1995,73.9
1996,131.9
1997,80
1998,60
1999,44.3
2000,65.4
2001,101.9
2002,96.6
2003,92.9
2004,108.3
2005,149.8
2006,101.2
2007,121.2
2008,97.4
2009,87.6
2010,135.7
2011,112.3
2012,70.1
2013,119.5
2014,90.3
2015,66.1
2016,61.9
2017,116.3
2018,86.7
2019,78.5
