UF,AM
Cidade,SAO PAULO DE OLIVENCA
Nome Posto,SANTA RITA DO WEIL
Latitude,-3.5730555555555554
Longitude,-69.37083333333332
Codigo,369000
Qtd. Anos,39
Ano,Maxima
1982,77.4
1983,140.2
1984,58.6
1985,83.6
1986,100
1987,60.6
1988,63
1989,68.4
1990,125.8
1991,64
1992,56
1993,49.2
1994,52.4
1995,48.4
1996,48.4
1997,84
1998,62
1999,70
2000,19.5
2001,17.8
2002,51.7
2003,63.7
2004,73.1
2005,63.7
2006,63.1
2007,36.5
2008,67
2009,19.7
2010,55
2011,42.7
2012,17.6
2013,17.9
2014,19.4
2015,19.2
2016,73.1
2017,74.8
2018,37.8
2019,37.4
2020,31.8
