UF,AM
Cidade,IPIXUNA
Nome Posto,SERINGAL BOA FE
Latitude,-7.235833333333334
Longitude,-72.33361111111111
Codigo,772002
Qtd. Anos,37
Ano,Maxima
1982,89.5
1983,200
1984,148
1985,61
1986,87.2
1987,100
1988,77.3
1989,89
1990,139.6
1991,125.5
1992,77
1993,126.4
1994,110.2
1995,96.2
1996,74.3
1997,90.5
1998,152
1999,79.7
2000,82.7
2001,105.5
2002,120.5
2003,108.8
2004,100.1
2005,101
2006,91.2
2007,94.8
2008,89.5
2009,107.9
2010,87.9
2011,78.5
2012,87.6
2013,52.1
2015,96.5
2016,80.3
2017,135
2018,97.4
2019,112.9
