UF,AM
Cidade,BOCA DO ACRE
Nome Posto,SERINGAL DA CARIDADE
Latitude,-9.043888888888889
Longitude,-68.57722222222222
Codigo,968001
Qtd. Anos,48
Ano,Maxima
1972,53.6
1973,71.4
1974,75.4
1975,116.2
1976,84
1977,105.5
1978,75.6
1979,89
1980,107
1981,135.2
1982,91.9
1983,63.2
1984,154.6
1985,111.5
1986,73.4
1987,108.5
1988,87.8
1989,69.5
1990,85.8
1991,99.6
1992,74.1
1993,86.1
1994,65
1995,453.5
1996,75
1997,100.9
1998,84.2
1999,86.2
2000,86.7
2001,80.5
2002,101.8
2003,70
2004,92.4
2005,137
2006,101
2007,35
2008,12
2009,14.9
2010,21.4
2011,9.1
2012,13
2013,9.9
2014,8.4
2015,70
2016,82.4
2017,88.6
2018,114.4
2019,84.6
