UF,AM
Cidade,APUI
Nome Posto,SANTAREM SUCUNDURI
Latitude,-6.795277777777778
Longitude,-59.04083333333333
Codigo,658000
Qtd. Anos,45
Ano,Maxima
1975,60.8
1976,100.6
1977,161
1978,94
1979,117
1980,164
1981,104
1982,75
1983,132.2
1984,140.4
1985,120.4
1986,47.7
1987,40
1988,77.3
1989,53.3
1990,64
1991,43.5
1992,81.3
1993,87.5
1994,52.5
1995,93.2
1996,98.3
1997,74.3
1998,80.3
1999,64.3
2000,125.2
2001,150.2
2002,53.5
2003,79.4
2004,82.3
2005,93.1
2006,111.6
2007,74.3
2008,130.7
2009,144.3
2010,84.6
2011,93.7
2012,95.2
2013,112.9
2014,189.2
2015,260.5
2016,220.1
2017,103.6
2018,98.1
2019,98.6
