UF,AM
Cidade,JUTAI
Nome Posto,COLOCACAO CAXIAS NOVO
Latitude,-5.380833333333333
Longitude,-68.99833333333333
Codigo,568001
Qtd. Anos,38
Ano,Maxima
1982,82
1983,93
1984,250.2
1985,58
1986,106.6
1987,97.7
1988,108.2
1989,119.6
1990,119
1991,114.2
1992,149.4
1993,110
1994,110.4
1995,92
1996,53.8
1997,70
1998,59
1999,110.7
2000,81.5
2001,169.8
2002,215.4
2003,92.6
2004,91.8
2005,99.6
2006,125.8
2007,132.4
2008,84
2009,155.3
2010,92.5
2011,84.7
2012,44.4
2013,44.2
2014,68.6
2015,118.2
2016,135.8
2017,106
2018,94
2019,127.8
