UF,AM
Cidade,SANTO ANTONIO DO ICA
Nome Posto,BOA UNIAO
Latitude,-2.8805555555555555
Longitude,-68.79861111111111
Codigo,268000
Qtd. Anos,39
Ano,Maxima
1982,93
1983,75.2
1984,55
1985,50
1986,70
1987,50.6
1988,50.6
1989,37
1990,86.4
1991,56
1992,140.6
1993,117.2
1994,160.6
1995,105.6
1996,138.4
1997,83
1998,86
1999,90.2
2000,90.7
2001,90.4
2002,90.5
2003,80.3
2004,90.2
2005,80.2
2006,90.3
2007,80.2
2008,90.4
2009,90.2
2010,90.8
2011,110.5
2012,90.4
2013,80.2
2014,115.2
2015,94.4
2016,90.7
2017,100.6
2018,90.8
2019,90.8
2020,90.8
