UF,AM
Cidade,JAPURA
Nome Posto,VILA BITTENCOURT
Latitude,-1.3947222222222222
Longitude,-69.42833333333334
Codigo,169000
Qtd. Anos,43
Ano,Maxima
1977,0.5
1978,117.6
1979,184.5
1980,101.8
1981,102
1982,131.2
1983,108.6
1984,129.8
1985,81.6
1986,67
1987,166
1988,171
1989,77.2
1990,75.3
1991,84.8
1992,184.6
1993,116.5
1994,98.9
1995,84.3
1996,114.5
1997,134.6
1998,73.7
1999,83.5
2000,84.2
2001,71.2
2002,77.2
2003,125.8
2004,51
2005,106
2006,34.6
2007,146
2008,74.7
2009,87.2
2010,62.9
2011,53
2012,133.4
2013,121.5
2014,90
2015,68.8
2016,63.3
2017,97.8
2018,96.9
2019,90.7
