UF,AM
Cidade,CARAUARI
Nome Posto,XIBAUA
Latitude,-5.8936111111111105
Longitude,-67.85694444444444
Codigo,567001
Qtd. Anos,43
Ano,Maxima
1978,157
1979,88.8
1980,128.8
1981,96.6
1982,112.4
1983,171.2
1984,84.4
1985,85
1986,140
1987,91.2
1988,108
1989,109.2
1990,73
1991,69.2
1992,88
1993,80.4
1994,80.2
1995,72
1996,62
1997,66.2
1998,87
1999,100.5
2000,100
2001,104
2002,89
2003,92.2
2004,99
2005,97
2006,70
2007,150
2008,175
2009,180
2010,110.3
2011,110.3
2012,131
2013,120
2014,133
2015,96
2016,100
2017,296
2018,150
2019,135
2020,76.2
